Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Yorba,7/11/2021,Double Surrey,Brake cable fraying from top(near steering wheel),,,Received,https://www.notion.so/Double-Left-Cable-106-af6b4045d1ca47b8b83e061894e36be5,2,Norma,Down,7/21/2021,Robert Mounce,,,,,,
Yorba,7/11/2021,Quad Sport,Missing bottom steering wheel bolt (size 13),,,Done,,3,Norma,Down,7/13/2021,Robert Mounce,,,,,,
Yorba,7/11/2021,Deuce Coupe,Steering needs to be aligned w/ wheel,,,Done,,3,Norma,Down,7/18/2021,Jonathan Soliz,,,,,,
Yorba,7/11/2021,Chopper,Front tire wobbling,,,Done,https://www.notion.so/Tire-16-x-2-125-fb4e205eb80640e6a1170c6961e316a6,2,Norma,Down,7/18/2021,Jonathan Soliz,,,,,,
Edinger,7/12/2021,Swan Boat,Sinking,,,Done,,3,Vince,Down,7/28/2021,Robert Mounce,Robert Mounce,"July 27, 2021 9:00 AM-10:15 AM",,,,
Edinger,7/14/2021,Quad Sport,Flat front tire,,,Done,,1,Norma,Down,7/15/2021,Jonathan Soliz,,,,,,
Yorba,7/14/2021,Single Surrey,Brake cable broken,,,Done,,1,Ruben,Down,7/18/2021,Jonathan Soliz,,,,,,
Waterfront,7/15/2021,Single Surrey,Needs break adjustment,,,,,5,Kimmy Torres,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 22, 2021",,,,
Edinger,7/15/2021,Double Surrey,Flat front tire,,,Done,,1,Jonathan,Down,7/15/2021,Jonathan Soliz,,,,,,
Edinger,7/15/2021,Quad Sport,Dull tire,,,,,1,Jonathan,,7/15/2021,Robert Mounce,,,,,,
Waterfront,7/15/2021,Double Surrey,Front right tire popped,,,Done,,4,Edwin Solano,Down,7/26/2021,Robert Mounce,Robert Mounce,"July 22, 2021",,,,
Yorba,7/16/2021,Quad Sport,"Back left tire flat, popped.",,,Done,,4,Angel,Down,7/18/2021,Jonathan Soliz,,,,,,
Edinger,7/17/2021,Double Surrey,Chain skipping front passenger side,,,Done,,5,Norma,Down,7/24/2021,Robert Mounce,Robert Mounce,,,,,
Yorba,7/17/2021,Quad Sport,Flat front left tire,,,Done,,3,Joshua,Down,7/18/2021,Jonathan Soliz,,,,,,
Edinger,7/18/2021,Swan Boat,sinking,,,Planned,,2,,Down,7/27/2021,Robert Mounce,Robert Mounce,"July 27, 2021 9:00 AM-10:15 AM",,,,
Edinger,7/18/2021,Double Surrey,Flat front tire,,,Done,,,,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 21, 2021",,,,
Edinger,7/18/2021,Swan Boat,SINKING,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%205.jpg,Planned,,6,,Down,7/27/2021,Robert Mounce,Robert Mounce,"July 27, 2021 9:00 AM-10:15 AM",,,,
Warner,7/18/2021,Double Surrey,Front left tire bent/flat,,,To Be Looked At,https://www.notion.so/Surrey-Front-Rim-358691b2b5944ca4ab5357e455a5c75b,1797,Coco,Down,7/27/2021,Robert Mounce,,"July 27, 2021 10:45 AM-11:15 AM",,1,,1
Warner,7/18/2021,Double Surrey,Backseat is treaded where the bolts are,,,Done,,1796,Coco,Down,7/18/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Single Surrey,Passenger side chain fell off,,,Done,,1795,Coco,Down,7/18/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Single Surrey,The break is failing to work,,,Done,,1746,Coco,Down,7/18/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Double Surrey,Front left tire flat,,,Done,,1747,Coco,Down,7/24/2021,Jonathan Soliz,,,,,,
Yorba,7/18/2021,Single Surrey,Brake adjustments for all single and double surreys,,,Done,,All,Jonathan,,7/18/2021,Jonathan Soliz,,,,,,
Yorba,7/18/2021,Double Surrey,Brake adjustment all double and single surreys,,,Done,,1,Jonathan,Down,7/18/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Quad Sport,Rear chain fell off,,,Done,,1748,Coco,Down,7/22/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Quad Sport,Right front tire is flat and rim cracked /back tire popped,,,Done,,1749,Coco,Down,7/24/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Deuce Coupe,Front tire is missing a bolt and is wiggling,,,Done,,1798,Coco,Down,7/22/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Deuce Coupe,Backseat broken,,,Done,,8483,Coco,Down,7/28/2021,Robert Mounce,,"July 27, 2021 12:00 PM-12:30 PM",,,,
Edinger,7/18/2021,Quad Sport,Flat tire front right,,,Done,,1,Nathan,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 21, 2021",,,,
Warner,7/18/2021,Cruiser,Broken kickstand,,,Done,,7369,Coco,Down,7/22/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Double Surrey,Rear pedal passenger,,,Planned,,7310,Coco,Down,7/28/2021,Robert Mounce,,,,,,
Warner,7/18/2021,Double Surrey,Brake lever wire needs to be tightened,,,Done,,1799,Coco,Down,7/18/2021,Jonathan Soliz,,,,,,
Warner,7/18/2021,Tandem,Sprocket came off,,,"Needs to be Ordered, To Be Looked At",https://www.notion.so/tandem-sprocket-nut-allen-cfebd81d901143eea80c789a774eadbc,7322,Coco,Down,7/28/2021,Robert Mounce,,"July 27, 2021 11:45 AM-12:15 PM",,,,
Waterfront,7/18/2021,Deuce Coupe,Passenger side petals won’t break,,,,,1,Jazmeen Gonzales,Mechanics Attention,7/18/2021,Google Forms to Notion,,,,,,
Yorba,7/19/2021,Quad Sport,Front right tire popped,,,Done,,3,Angel,Down,7/27/2021,Jonathan Soliz,,,,,,
